Date,Time,Userid_From,Name_From,Message,Userid_To,At,Post_Category,Channel,To_Channel
7/11/19,20:50:12,UL1DM98CD,,"The options are 1:30-3:00 and 3:00-4:30, I was guessing 3:00-4:30 as it buts against the end of the day/dinner.",UL7QW8LKX,,0,taylor-couette,TRUE
7/11/19,21:09:37,UBNAMV4NR,,Whatever is fine but we should coordinate so everybody is going at the same time.,UKY59QCN6,,0,taylor-couette,TRUE
7/11/19,21:09:37,UBNAMV4NR,,Whatever is fine but we should coordinate so everybody is going at the same time.,UL1DM98CD,,0,taylor-couette,TRUE
7/11/19,21:09:37,UBNAMV4NR,,Whatever is fine but we should coordinate so everybody is going at the same time.,UL1M8QLPJ,,0,taylor-couette,TRUE
7/11/19,21:09:37,UBNAMV4NR,,Whatever is fine but we should coordinate so everybody is going at the same time.,UL7QW8LKX,,0,taylor-couette,TRUE
7/12/19,9:07:41,UBNAMV4NR,,<!channel> Reminder: We are meeting in room 102 of Centennial Science Hall today at 8:30 and not on the 3rd floor of the UC.,UKY59QCN6,,0,taylor-couette,TRUE
7/12/19,9:07:41,UBNAMV4NR,,<!channel> Reminder: We are meeting in room 102 of Centennial Science Hall today at 8:30 and not on the 3rd floor of the UC.,UL1DM98CD,,0,taylor-couette,TRUE
7/12/19,9:07:41,UBNAMV4NR,,<!channel> Reminder: We are meeting in room 102 of Centennial Science Hall today at 8:30 and not on the 3rd floor of the UC.,UL1M8QLPJ,,0,taylor-couette,TRUE
7/12/19,9:07:41,UBNAMV4NR,,<!channel> Reminder: We are meeting in room 102 of Centennial Science Hall today at 8:30 and not on the 3rd floor of the UC.,UL7QW8LKX,,0,taylor-couette,TRUE
7/13/19,10:04:22,UBNAMV4NR,,Here's a handout with various experiments that students can do with the TC system. The 0 th file name and title is Taylor-vortex-instabilities-june-2012.pdf; Taylor-vortex-instabilities-june-2012.pdf.,UKY59QCN6,,0,taylor-couette,TRUE
7/13/19,10:04:22,UBNAMV4NR,,Here's a handout with various experiments that students can do with the TC system. The 0 th file name and title is Taylor-vortex-instabilities-june-2012.pdf; Taylor-vortex-instabilities-june-2012.pdf.,UL1DM98CD,,0,taylor-couette,TRUE
7/13/19,10:04:22,UBNAMV4NR,,Here's a handout with various experiments that students can do with the TC system. The 0 th file name and title is Taylor-vortex-instabilities-june-2012.pdf; Taylor-vortex-instabilities-june-2012.pdf.,UL1M8QLPJ,,0,taylor-couette,TRUE
7/13/19,10:04:22,UBNAMV4NR,,Here's a handout with various experiments that students can do with the TC system. The 0 th file name and title is Taylor-vortex-instabilities-june-2012.pdf; Taylor-vortex-instabilities-june-2012.pdf.,UL7QW8LKX,,0,taylor-couette,TRUE
7/13/19,13:38:54,UL1M8QLPJ,,We've been tasked with assembling slides while tours are occurring. Meet in the lounge with coffee (across from lab). Meet you there!,UBNAMV4NR,,0,taylor-couette,TRUE
7/13/19,13:38:54,UL1M8QLPJ,,We've been tasked with assembling slides while tours are occurring. Meet in the lounge with coffee (across from lab). Meet you there!,UKY59QCN6,,0,taylor-couette,TRUE
7/13/19,13:38:54,UL1M8QLPJ,,We've been tasked with assembling slides while tours are occurring. Meet in the lounge with coffee (across from lab). Meet you there!,UL1DM98CD,,0,taylor-couette,TRUE
7/13/19,13:38:54,UL1M8QLPJ,,We've been tasked with assembling slides while tours are occurring. Meet in the lounge with coffee (across from lab). Meet you there!,UL7QW8LKX,,0,taylor-couette,TRUE
8/13/20,23:48:53,U018T91P469,,<@U018T91P469> has joined the channel,UBNAMV4NR,,joined,taylor-couette,TRUE
8/13/20,23:48:53,U018T91P469,,<@U018T91P469> has joined the channel,UKY59QCN6,,joined,taylor-couette,TRUE
8/13/20,23:48:53,U018T91P469,,<@U018T91P469> has joined the channel,UL1DM98CD,,joined,taylor-couette,TRUE
8/13/20,23:48:53,U018T91P469,,<@U018T91P469> has joined the channel,UL1M8QLPJ,,joined,taylor-couette,TRUE
8/13/20,23:48:53,U018T91P469,,<@U018T91P469> has joined the channel,UL7QW8LKX,,joined,taylor-couette,TRUE
8/26/20,15:13:46,U010HJ8QCDB,,<@U010HJ8QCDB> has joined the channel,UBNAMV4NR,,joined,taylor-couette,TRUE
8/26/20,15:13:46,U010HJ8QCDB,,<@U010HJ8QCDB> has joined the channel,UKY59QCN6,,joined,taylor-couette,TRUE
8/26/20,15:13:46,U010HJ8QCDB,,<@U010HJ8QCDB> has joined the channel,UL1DM98CD,,joined,taylor-couette,TRUE
8/26/20,15:13:46,U010HJ8QCDB,,<@U010HJ8QCDB> has joined the channel,UL1M8QLPJ,,joined,taylor-couette,TRUE
8/26/20,15:13:46,U010HJ8QCDB,,<@U010HJ8QCDB> has joined the channel,UL7QW8LKX,,joined,taylor-couette,TRUE
8/26/20,15:13:46,U010HJ8QCDB,,<@U010HJ8QCDB> has joined the channel,U018T91P469,,joined,taylor-couette,TRUE
